"PartitionKey","RowKey","Age","DeviceType","Dizziness","EventEnqueuedUtcTime","EventProcessedUtcTime","Id","IoTHub","Nick","NoExperiment","PartitionId","PreWait","Reaction","Sex"
rpi3,2016-05-22T18:06:19.4900000Z,12,0,0,22.05.2016 18:06:19,22.05.2016 18:09:35,rpi3,Record,vickievalerie,9,1,4604,4053163,F
rpi3,2016-05-22T18:06:27.5410000Z,12,0,0,22.05.2016 18:06:27,22.05.2016 18:09:35,rpi3,Record,vickievalerie,10,1,4727,4861231,F
rpi3,2016-05-22T18:09:42.7940000Z,12,0,1,22.05.2016 18:09:42,22.05.2016 18:09:44,rpi3,Record,vickievalerie,0,1,4885,4500595,F
rpi3,2016-05-22T18:09:54.0410000Z,12,0,1,22.05.2016 18:09:54,22.05.2016 18:09:55,rpi3,Record,vickievalerie,1,1,3110,4518918,F
rpi3,2016-05-22T18:10:01.9950000Z,12,0,1,22.05.2016 18:10:01,22.05.2016 18:10:03,rpi3,Record,vickievalerie,2,1,4497,5821626,F
rpi3,2016-05-22T18:11:49.8030000Z,12,0,1,22.05.2016 18:11:49,22.05.2016 18:11:51,rpi3,Record,vickievalerie,0,1,4164,3800546,F
rpi3,2016-05-22T18:11:55.3270000Z,12,0,1,22.05.2016 18:11:55,22.05.2016 18:11:56,rpi3,Record,vickievalerie,1,1,2208,7888650,F
rpi3,2016-05-22T18:12:03.0050000Z,12,0,1,22.05.2016 18:12:03,22.05.2016 18:12:04,rpi3,Record,vickievalerie,2,1,3509,4255202,F
rpi3,2016-05-22T18:12:22.3280000Z,12,0,1,22.05.2016 18:12:22,22.05.2016 18:12:23,rpi3,Record,vickievalerie,3,1,2355,6179585,F
rpi3,2016-05-22T18:12:28.6657730Z,12,0,1,22.05.2016 18:12:27,22.05.2016 18:12:28,rpi3,Record,vickievalerie,4,1,2120,4247617,F
rpi3,2016-05-22T18:12:34.3180000Z,12,0,1,22.05.2016 18:12:34,22.05.2016 18:12:35,rpi3,Record,vickievalerie,5,1,2784,3852826,F
rpi3,2016-05-22T18:12:42.0210000Z,12,0,1,22.05.2016 18:12:42,22.05.2016 18:12:43,rpi3,Record,vickievalerie,6,1,4095,4112766,F
rpi3,2016-05-22T18:12:58.2750000Z,12,0,1,22.05.2016 18:12:58,22.05.2016 18:12:59,rpi3,Record,vickievalerie,7,1,4399,5720666,F
rpi3,2016-05-22T18:13:03.6050000Z,12,0,1,22.05.2016 18:13:03,22.05.2016 18:13:04,rpi3,Record,vickievalerie,8,1,2130,4957135,F
rpi3,2016-05-22T18:13:09.1109614Z,12,0,1,22.05.2016 18:13:09,22.05.2016 18:13:10,rpi3,Record,vickievalerie,9,1,2063,5804774,F
rpi3,2016-05-22T18:16:28.5320000Z,12,0,2,22.05.2016 18:16:28,22.05.2016 18:16:29,rpi3,Record,vickievalerie,0,1,2923,3798982,F
rpi3,2016-05-22T18:16:34.2906131Z,12,0,2,22.05.2016 18:16:33,22.05.2016 18:16:35,rpi3,Record,vickievalerie,1,1,2167,3773930,F
rpi3,2016-05-22T18:16:39.5360000Z,12,0,2,22.05.2016 18:16:39,22.05.2016 18:16:40,rpi3,Record,vickievalerie,2,1,2547,7539492,F
rpi3,2016-05-22T18:17:09.9789904Z,12,0,2,22.05.2016 18:17:09,22.05.2016 18:17:11,rpi3,Record,vickievalerie,3,1,3307,3839932,F
rpi3,2016-05-22T18:17:16.1570000Z,12,0,2,22.05.2016 18:17:16,22.05.2016 18:17:17,rpi3,Record,vickievalerie,4,1,3436,3558349,F
rpi3,2016-05-22T18:17:23.9780000Z,12,0,2,22.05.2016 18:17:23,22.05.2016 18:17:25,rpi3,Record,vickievalerie,5,1,4926,3442048,F
rpi3,2016-05-22T18:17:55.5710000Z,12,0,2,22.05.2016 18:17:55,22.05.2016 18:17:56,rpi3,Record,vickievalerie,6,1,3411,3787044,F
rpi3,2016-05-22T18:18:03.1615967Z,12,0,2,22.05.2016 18:18:03,22.05.2016 18:18:04,rpi3,Record,vickievalerie,7,1,4086,3403698,F
rpi3,2016-05-22T18:18:08.1220000Z,12,0,2,22.05.2016 18:18:08,22.05.2016 18:18:09,rpi3,Record,vickievalerie,8,1,2058,3709262,F
